OBJID,CREATE_AT,STATUS,ROUTE,FINISH_AT,EXEC_AT,LABEL,FILE_SIZE,CONTENT_LENGTH,DIARIZE,RETRY,DURATION,IS_DELETE
278482685,2025-07-28 12:03:09.2500000,2,/api/v1/rest/CreateTranscribeTask,2025-07-28 12:04:24.7033333,2025-07-28 12:03:19.1433333,5023217,22726,8883,1,0,1454.472,0
278482676,2025-07-25 17:29:44.7466667,2,/api/v1/rest/CreateTranscribeTask,2025-07-25 17:35:05.5133333,2025-07-25 17:29:46.3666667,6005623,69666,46832,1,0,8584.3413330000003,0
278482670,2025-07-25 17:24:02.9166667,2,/api/v1/rest/CreateTranscribeTask,2025-07-25 17:27:09.7866667,2025-07-25 17:24:06.3566667,5016802,40258,26980,1,0,5153.04,0
278482663,2025-07-25 17:19:46.6233333,2,/api/v1/rest/CreateTranscribeTask,2025-07-25 17:20:56.8900000,2025-07-25 17:19:55.3766667,5016802,11555,8921,1,0,1479.0239999999999,0
278482656,2025-07-25 15:48:08.1466667,2,/api/v1/rest/CreateTranscribeTask,2025-07-25 15:52:18.5600000,2025-07-25 15:48:15.0066667,5016802,176001,33609,1,0,7509.2114579999998,0
278482649,2025-07-25 13:47:47.4733333,2,/api/v1/rest/CreateTranscribeTask,2025-07-25 13:50:33.9300000,2025-07-25 13:47:55.4000000,6013089,39275,23751,1,0,4021.6320000000001,0
278482628,2025-07-25 10:12:55.5933333,2,/api/v1/rest/CreateTranscribeTask,2025-07-25 10:13:14.4000000,2025-07-25 10:13:04.5133333,6013238,17423,2006,0,0,124.343,0
278482621,2025-07-25 10:09:06.5166667,2,/api/v1/rest/CreateTranscribeTask,2025-07-25 10:10:20.1633333,2025-07-25 10:09:13.6066667,102568,43893,8192,1,0,1872.6139169999999,1
278482605,2025-07-24 16:39:06.6500000,2,/api/v1/rest/CreateTranscribeTask,2025-07-24 16:42:51.7966667,2025-07-24 16:39:09.3266667,5014928,431820,37527,1,0,6909.1199999999999,0
278482587,2025-07-24 16:26:18.6533333,2,/api/v1/rest/CreateTranscribeTask,2025-07-24 16:31:30.9366667,2025-07-24 16:29:19.2866667,5023217,121894,19977,1,0,3118.0538780000002,0
278482585,2025-07-24 16:18:39.2766667,2,/api/v1/rest/CreateTranscribeTask,2025-07-24 16:29:13.6900000,2025-07-24 16:26:29.2733333,129231,104209,24868,1,0,4446.0930829999998,0
278482559,2025-07-24 16:14:13.7900000,2,/api/v1/rest/CreateTranscribeTask,2025-07-24 16:32:03.8633333,2025-07-24 16:31:40.2500000,5011247,867,2070,1,0,429.43400000000003,0
278482550,2025-07-24 16:13:29.8033333,2,/api/v1/rest/CreateTranscribeTask,2025-07-24 16:26:23.4533333,2025-07-24 16:16:09.2533333,6010334,3822,1350,1,0,244.662813,0
278482498,2025-07-24 15:47:53.9933333,2,/api/v1/rest/CreateTranscribeTask,2025-07-24 15:54:44.3000000,2025-07-24 15:52:29.1700000,6012504,228348,14507,0,0,5845.6293999999998,0
278482496,2025-07-24 15:47:36.6633333,2,/api/v1/rest/CreateTranscribeTask,2025-07-24 15:52:22.7233333,2025-07-24 15:51:09.1700000,6012504,96380,9161,0,0,2467.2392,0
278482494,2025-07-24 15:47:20.5566667,2,/api/v1/rest/CreateTranscribeTask,2025-07-24 15:51:02.5933333,2025-07-24 15:49:39.1633333,6012504,138091,8320,0,0,3535.04655,0
278482492,2025-07-24 15:47:06.5300000,2,/api/v1/rest/CreateTranscribeTask,2025-07-24 16:01:59.2100000,2025-07-24 16:00:00.1300000,6012504,162828,16503,0,0,4168.3069500000001,0
278482490,2025-07-24 15:46:50.4100000,2,/api/v1/rest/CreateTranscribeTask,2025-07-24 15:49:36.8600000,2025-07-24 15:48:09.1600000,6012504,111264,11673,0,0,2848.2612250000002,0
278482484,2025-07-24 15:46:30.4466667,2,/api/v1/rest/CreateTranscribeTask,2025-07-24 15:59:57.7433333,2025-07-24 15:58:20.1333333,6012504,130705,13342,0,0,3345.9461249999999,0
278482482,2025-07-24 15:46:18.0866667,2,/api/v1/rest/CreateTranscribeTask,2025-07-24 15:48:07.3066667,2025-07-24 15:46:49.1566667,6012504,106162,9205,0,0,2717.6489999999999,0
278482480,2025-07-24 15:46:03.4133333,2,/api/v1/rest/CreateTranscribeTask,2025-07-24 15:58:13.7733333,2025-07-24 15:54:50.1300000,6012504,261368,28606,0,0,6690.9257250000001,0
278482476,2025-07-24 15:44:19.9833333,2,/api/v1/rest/CreateTranscribeTask,2025-07-24 15:46:41.1100000,2025-07-24 15:44:29.1500000,6012504,173417,17156,0,0,4439.3796000000002,0
278482468,2025-07-24 15:42:03.6666667,2,/api/v1/rest/CreateTranscribeTask,2025-07-24 15:42:59.0800000,2025-07-24 15:42:10.1000000,6012504,8736,6691,1,0,1118.2080000000001,0
278482456,2025-07-24 15:34:15.8833333,2,/api/v1/rest/CreateTranscribeTask,2025-07-24 15:35:02.3766667,2025-07-24 15:34:30.0700000,113542,11782,11762,1,0,754.02449000000001,0
278482453,2025-07-24 15:32:55.2533333,2,/api/v1/rest/CreateTranscribeTask,2025-07-24 15:34:21.2833333,2025-07-24 15:32:59.0966667,5021061,31249,11524,1,0,1999.9608129999999,0
278482441,2025-07-24 12:44:24.9200000,2,/api/v1/rest/CreateTranscribeTask,2025-07-24 12:50:06.5100000,2025-07-24 12:48:18.3633333,6013089,19096,11212,1,0,1955.3040000000001,0
278482439,2025-07-24 12:44:21.8900000,2,/api/v1/rest/CreateTranscribeTask,2025-07-24 12:48:14.4500000,2025-07-24 12:44:28.3600000,6013089,64943,30782,1,0,6650.0159999999996,0
278482422,2025-07-24 11:08:35.9200000,2,/api/v1/rest/CreateTranscribeTask,2025-07-24 11:09:36.8800000,2025-07-24 11:08:37.9300000,107504,14043,24708,1,0,1797.528,1
278482416,2025-07-24 11:03:14.7033333,2,/api/v1/rest/CreateTranscribeTask,2025-07-24 11:05:00.6833333,2025-07-24 11:03:18.9800000,6013280,36477,14362,1,0,2738.328,0
278482408,2025-07-24 10:11:15.4966667,2,/api/v1/rest/CreateTranscribeTask,2025-07-24 10:14:54.2000000,2025-07-24 10:11:17.7266667,5022326,119713,27287,0,0,8349.9102039999998,0
278482401,2025-07-24 10:07:05.0000000,2,/api/v1/rest/CreateTranscribeTask,2025-07-24 10:08:32.6066667,2025-07-24 10:07:08.7666667,113542,38110,40001,1,0,2439.0269389999999,0
278482386,2025-07-23 23:21:04.0366667,2,/api/v1/rest/CreateTranscribeTask,2025-07-23 23:21:39.6266667,2025-07-23 23:21:05.0533333,6002461,14481,4111,0,0,925.24800000000005,1
278482371,2025-07-23 23:19:10.7866667,2,/api/v1/rest/CreateTranscribeTask,2025-07-23 23:19:44.7500000,2025-07-23 23:19:16.0233333,6002461,11447,3131,0,0,731.03999999999996,1
278482356,2025-07-23 23:16:25.0466667,2,/api/v1/rest/CreateTranscribeTask,2025-07-23 23:16:53.7266667,2025-07-23 23:16:26.0100000,6002461,10226,2873,0,0,652.94399999999996,1
